feature,psi,status
cat_ord__edad_bucket,4.324029,Drift
numeric__antiguedad_prestamo_dias,1.82,Drift
numeric__mes_prestamo,1.654301,Drift
numeric__pct_creditos_sectorFinanciero,1.369915,Drift
numeric__edad_cliente,0.865776,Drift
numeric__capital_prestado,0.748818,Drift
numeric__total_otros_prestamos,0.728157,Drift
numeric__salario_cliente,0.723531,Drift
categoric__tipo_laboral_Independiente,0.702239,Drift
numeric__cuota_pactada,0.670155,Drift
numeric__pct_creditos_sectorReal,0.670032,Drift
numeric__plazo_meses,0.594002,Drift
numeric__puntaje_datacredito,0.420842,Drift
numeric__pct_creditos_sectorCooperativo,0.274694,Drift
numeric__promedio_ingresos_datacredito,0.227384,Drift
numeric__creditos_sectorReal,0.223011,Drift
numeric__huella_consulta,0.177156,Monitorear
categoric__tipo_credito_10,0.140768,Monitorear
numeric__creditos_sectorFinanciero,0.109646,Monitorear
numeric__cant_creditosvigentes,0.107833,Monitorear
categoric__tipo_credito_9,0.105789,Monitorear
numeric__creditos_sectorCooperativo,0.102788,Monitorear
numeric__creditos_sector_total,0.048019,Estable
categoric__dia_semana_prestamo_Saturday,0.032185,Estable
categoric__dia_semana_prestamo_Wednesday,0.030338,Estable
categoric__dia_semana_prestamo_Tuesday,0.029597,Estable
numeric__anio_prestamo,0.024755,Estable
categoric__tipo_credito_6,0.023187,Estable
cat_ord__tendencia_ingresos,0.016647,Estable
categoric__dia_semana_prestamo_Sunday,0.013711,Estable
categoric__dia_semana_prestamo_Thursday,0.010736,Estable
numeric__ratio_cuota_salario,0.002713,Estable
numeric__ratio_capital_salario,0.002713,Estable
categoric__tipo_credito_7,0.001856,Estable
numeric__dti_aprox,0.001716,Estable
numeric__ratio_otros_prestamos_salario,0.001716,Estable
categoric__tipo_credito_68,0.000858,Estable
categoric__dia_semana_prestamo_Monday,3e-06,Estable
